Professor ID,Branch,Description,Locality,Schedule,Home Latitude,Home Longitude
PROF-AIJO-001,AIJO,All India JAM-2025 Organising,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5239857,77.1922228
PROF-AS-008,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5494982,77.2030748
PROF-AS-009,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5495109,77.2029134
PROF-AS-010,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5500125,77.1982129
PROF-AS-011,AS,Centre for Atmospheric Sciences,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.547920179785653,77.18666862446504
PROF-AS-012,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5477737,77.1983485
PROF-AS-013,AS,Centre for Atmospheric Sciences,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.545847385340092,77.18240537459992
PROF-AS-014,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5509124,77.1988111
PROF-AS-015,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5505214,77.203114
PROF-AS-016,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5481834,77.1977829
PROF-AS-017,AS,Centre for Atmospheric Sciences,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5431919,77.1974598
PROF-AS-018,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.551933,77.2039158
PROF-AS-019,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5489764,77.19758
PROF-AS-020,AS,Centre for Atmospheric Sciences,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5475495,77.19992
PROF-ART-001,ART,Centre for Automotive Research and Tribology,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5437546,77.2000552
PROF-ART-002,ART,Centre for Automotive Research and Tribology,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5242651,77.1920764
PROF-ART-003,ART,Centre for Automotive Research and Tribology,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.544988879292514,77.18207899261974
PROF-ART-004,ART,Centre for Automotive Research and Tribology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5476143,77.2005163
PROF-ART-005,ART,Centre for Automotive Research and Tribology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5488425,77.2028165
PROF-ART-006,ART,Centre for Automotive Research and Tribology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5480466,77.1973627
PROF-ART-007,ART,Centre for Automotive Research and Tribology,Nalanda Apt.,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54585482,77.18326782
PROF-ART-008,ART,Centre for Automotive Research and Tribology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5481224,77.197396
PROF-ART-009,ART,Centre for Automotive Research and Tribology,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5433156,77.200244
PROF-ART-010,ART,Centre for Automotive Research and Tribology,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5480472,77.1868123
PROF-ART-011,ART,Centre for Automotive Research and Tribology,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5446719,77.2005749
PROF-ART-012,ART,Centre for Automotive Research and Tribology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5490645,77.1996163
PROF-BE-001,BE,Centre for Biomedical Engineering,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5234998,77.1949038
PROF-BE-002,BE,Centre for Biomedical Engineering,Nalanda Apt.,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54585482,77.18326782
PROF-BE-003,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5528132,77.2003037
PROF-BE-004,BE,Centre for Biomedical Engineering,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5442488,77.200649
PROF-BE-005,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5507386,77.2031792
PROF-BE-006,BE,Centre for Biomedical Engineering,New Multi Story,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5450044,77.1817453
PROF-BE-007,BE,Centre for Biomedical Engineering,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54511315685864,77.18263569267164
PROF-BE-008,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5484834,77.2001806
PROF-BE-009,BE,Centre for Biomedical Engineering,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5440589,77.1974345
PROF-BE-010,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5508607,77.2003856
PROF-BE-011,BE,Centre for Biomedical Engineering,New Multi Story,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5450044,77.1817453
PROF-BE-012,BE,Centre for Biomedical Engineering,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.545002579025223,77.18249506043074
PROF-BE-013,BE,Centre for Biomedical Engineering,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.545015385658203,77.18258702640524
PROF-BE-014,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5498897,77.2008047
PROF-BE-015,BE,Centre for Biomedical Engineering,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5429565,77.2001445
PROF-BE-016,BE,Centre for Biomedical Engineering,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5241589,77.1910948
PROF-BE-017,BE,Centre for Biomedical Engineering,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5437546,77.2000552
PROF-BE-018,BE,Centre for Biomedical Engineering,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5235701,77.1930695
PROF-BE-019,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5506656,77.1981782
PROF-BE-020,BE,Centre for Biomedical Engineering,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.545852646153847,77.18051134615385
PROF-BE-021,BE,Centre for Biomedical Engineering,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54511315685864,77.18263569267164
PROF-BE-022,BE,Centre for Biomedical Engineering,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5504609,77.201951
PROF-RDT-001,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5529275,77.1993987
PROF-RDT-002,RDT,Centre for Rural Development and Technology,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5237667,77.1921099
PROF-RDT-003,RDT,Centre for Rural Development and Technology,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5436752,77.2003948
PROF-RDT-004,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54902,77.2028205
PROF-RDT-005,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5481032,77.1981176
PROF-RDT-006,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5470588,77.1991943
PROF-RDT-007,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5502522,77.2004353
PROF-RDT-008,RDT,Centre for Rural Development and Technology,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.548213024599153,77.18703042734593
PROF-RDT-009,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5494982,77.2030748
PROF-RDT-010,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5508607,77.2003856
PROF-RDT-011,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5476143,77.2005163
PROF-RDT-012,RDT,Centre for Rural Development and Technology,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5480177958514,77.1860334484874
PROF-RDT-013,RDT,Centre for Rural Development and Technology,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.548307111114916,77.18660473535047
PROF-RDT-014,RDT,Centre for Rural Development and Technology,Nalanda Apt.,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54585482,77.18326782
PROF-RDT-015,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5490645,77.1996163
PROF-RDT-016,RDT,Centre for Rural Development and Technology,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5526793,77.198808
PROF-SICPSE-001,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5517531,77.2004802
PROF-SICPSE-002,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5478003,77.1982342
PROF-SICPSE-003,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5518874,77.2006006
PROF-SICPSE-004,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5507386,77.2031792
PROF-SICPSE-005,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5523555,77.1992123
PROF-SICPSE-006,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.549662,77.2007162
PROF-SICPSE-007,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5427376,77.1968514
PROF-SICPSE-008,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.544886732771126,77.18261133062138
PROF-SICPSE-009,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5267337,77.1955549
PROF-SICPSE-010,SICPSE,"Centre for Sensors, Instrumentation and Cyber Physical System Engineering",SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5476969,77.1985025
PROF-CS-001,CS,Computer Services Centre,New Multi Story,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5450044,77.1817453
PROF-CS-002,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5526719,77.2010949
PROF-CS-003,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5485922,77.2002334
PROF-CS-004,CS,Computer Services Centre,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5247069,77.1920584
PROF-CS-005,CS,Computer Services Centre,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.548459669605684,77.18726978407116
PROF-CS-006,CS,Computer Services Centre,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.544719908847366,77.1825712666906
PROF-CS-007,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5498897,77.2008047
PROF-CS-008,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5498897,77.2008047
PROF-CS-009,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5509124,77.1988111
PROF-CS-010,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5502522,77.2004353
PROF-CS-011,CS,Computer Services Centre,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54511315685864,77.18263569267164
PROF-CS-012,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5523555,77.1992123
PROF-CS-013,CS,Computer Services Centre,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.548009620083914,77.18708922633229
PROF-CS-014,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5475947,77.2023259
PROF-CS-015,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5483067,77.2000465
PROF-CS-016,CS,Computer Services Centre,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5480177958514,77.1860334484874
PROF-CS-017,CS,Computer Services Centre,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.545015385658203,77.18258702640524
PROF-CS-018,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5486733,77.2003324
PROF-CS-019,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5478394,77.1980802
PROF-CS-020,CS,Computer Services Centre,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5507386,77.2031792
PROF-AM-001,AM,Department of Applied Mechanics,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5431935,77.2001394
PROF-AM-002,AM,Department of Applied Mechanics,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.545045417574922,77.18194880306689
PROF-AM-003,AM,Department of Applied Mechanics,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.547984850971325,77.1869061657239
PROF-AM-004,AM,Department of Applied Mechanics,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54539580532508,77.1827515748043
PROF-AM-005,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5477505,77.200132
PROF-AM-006,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5470588,77.1991943
PROF-AM-007,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5525347,77.1992696
PROF-AM-008,AM,Department of Applied Mechanics,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5429565,77.2001445
PROF-AM-009,AM,Department of Applied Mechanics,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5252665,77.1919824
PROF-AM-010,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5470318,77.1996396
PROF-AM-011,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.547287,77.2012402
PROF-AM-012,AM,Department of Applied Mechanics,Nalanda Apt.,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54585482,77.18326782
PROF-AM-013,AM,Department of Applied Mechanics,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.548459669605684,77.18726978407116
PROF-AM-014,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5470431,77.2011547
PROF-AM-015,AM,Department of Applied Mechanics,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.548213024599153,77.18703042734593
PROF-AM-016,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5527225,77.1999594
PROF-AM-017,AM,Department of Applied Mechanics,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5255,77.1921733
PROF-AM-018,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5507386,77.202046
PROF-AM-019,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5489764,77.19758
PROF-AM-020,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5487025,77.2027075
PROF-AM-021,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5480466,77.1973627
PROF-AM-022,AM,Department of Applied Mechanics,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5431919,77.1974598
PROF-AM-023,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5483799,77.2026321
PROF-AM-024,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54902,77.2028205
PROF-AM-025,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5470318,77.1996396
PROF-AM-026,AM,Department of Applied Mechanics,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5243615,77.1946377
PROF-AM-027,AM,Department of Applied Mechanics,Type 4,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54539580532508,77.1827515748043
PROF-AM-028,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5483438,77.1975405
PROF-AM-029,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5517155,77.1985593
PROF-AM-030,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5481955,77.1974364
PROF-AM-031,AM,Department of Applied Mechanics,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5255559,77.1942234
PROF-AM-032,AM,Department of Applied Mechanics,Nalanda Apt.,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54585482,77.18326782
PROF-AM-033,AM,Department of Applied Mechanics,SDA,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5527225,77.1999594
PROF-AM-034,AM,Department of Applied Mechanics,Chattpura,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5254487,77.1938528
PROF-AM-035,AM,Department of Applied Mechanics,Type 5,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.5431658,77.1971159
PROF-AM-036,AM,Department of Applied Mechanics,Nalanda Apt.,Work Hours: 08:00-17:00 (Mon-Fri) | Lunch Break: 12:00-13:00,28.54585482,77.18326782
